actors,country,director,genre,grade,introduce,keywords,language,length,name,up_date 
"乌苏拉·安德丝,Duilio Del Prete,Mario Pisu,丹尼埃·瓦尔加斯,Carla Romanelli",意大利,内洛·德罗萨蒂,"
                   喜剧         ",4.8,"As an aging widower begins suffering from heart trouble, his greedy heirs hope to speed him on his way by hiring a super-seductive nurse to get his pulse racing. Their plan backfires, though, as the young beauty begins to fall in love with the old man.","女人脱掉长袜,尼龙长袜,女袜腿,护士","
          意大利语        ",105分钟,"
        诱人女护士,L'infermiera ",(1975)
"马尔科姆·麦克道威尔,Teresa Ann Savoy,Guido Mannari,约翰·吉尔古德,彼得·奥图尔",意大利,丁度·巴拉斯,"
                   剧情        / 历史        ",5.4,"Details the graphic and shocking, yet undeniably tragic story of Rome's most infamous Caesar, Gaius Germanicus Caligula.","虐待狂,卡里古拉,残忍","
          意大利语        ",115分钟,"
        Caligola ",(1979)
"Kim Young-sam,阿里,Si Yeong,Hae-jin Kim,Kim Dae-Beom",韩国,Kong Ja-Kwan,"
                   剧情        / 爱情        ",6.2,"20-year-old Kyeong-soo is a man who's learned about sex from the Internet but knows nothing about the real thing. He's only had crushes and he has never even been kissed before. When he confessed his feelings to Ji-yeon, his crush, he felt shame. One day, he has a fight with his father and remembers…","色情梦,成年,裸胸","
          韩语        ",101分钟,"
        Buddy's Mom ",(2015)
"波西亚·德,玛雅,莎诺·伊丽莎白,克里斯汀娜·安娜波,Daniel Edward Mora",德国,韦斯·克雷文,"
                   喜剧         / 恐怖        ",5,"A werewolf loose in Los Angeles changes the lives of three young adults who, after being mauled by the beast, learn they must kill it in order to avoid becoming werewolves themselves.","加州洛杉矶,格劳曼中国剧院洛杉矶,心理电影","
          英语        ",99分钟,"
        诅咒,Cursed ",(2005)
"拉尔夫·费因斯,安吉拉·贝塞特,朱丽叶特·刘易斯,汤姆·塞兹摩尔,Michael Wincott",美国,凯瑟琳·毕格罗,"
                   动作片        / 犯罪        / 剧情        / 科幻        / 惊悚片        ",7.2,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,"赛博朋克,虚拟现实,谋杀,强奸,1999年","
          英语        ",145分钟,"
        末世纪暴潮,Strange Days ",(1995)
"乔芝·韩莉,斯堪德·凯恩斯,威廉·莫斯里,安娜·帕波维尔,蒂尔达·斯文顿",英国,安德鲁·亚当森,"
                   冒险        / 家庭        / 奇幻片        ",6.9,Four kids travel through a wardrobe to the land of Narnia and learn of their destiny to free it with the guidance of a mystical lion.,"女巫,圣诞老人的角色,白女巫的性格,露西·佩文西性格,彼得·佩文西性格","
          英语        ",150分钟,"
        纳尼亚传奇1：狮子、女巫和魔衣橱,The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",(2005)
"比尔·奈伊,艾玛·沃森,理查德·格雷弗斯,哈利·米尔林,丹尼尔·雷德克里夫",英国,大卫·叶茨,"
                   冒险        / 家庭        / 奇幻片        / 悬疑        ",7.7,"As Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) race against time and evil to destroy the Horcruxes, they uncover the existence of the three most powerful objects in the wizarding world: the Deathly Hallows.","魔法,基于年轻的成人小说,朋友,选择一个,友谊","
          英语        ",146分钟,"
        Harry Potter and the Deathly Hallows: Part 1 ",(2010)
"约翰尼·德普,杰弗里·拉什,奥兰多·布鲁姆,凯拉·奈特莉,杰克·达文波特",美国,戈尔·维宾斯基,"
                   动作片        / 冒险        / 奇幻片        ",7.1,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.","大量悬挂,海盗,女神,背叛,新加坡","
          英语        ",128分钟,"
        加勒比海盗3：世界的尽头,Pirates of the Caribbean: At World's End ",(2007)
"劳拉·贾姆瑟,加布里埃莱·丁蒂,Roger Browne,Riccardo Salvino,Lars Bloch",意大利,乔·达马托,"
                   剧情        / 悬疑        / 成人        ",5.3,"Emanuelle, a photojournalist, goes undercover in different parts of America and Europe to expose the seedy life of the rich and powerful.",内裤,"
          意大利语        ",82分钟,"
        艾曼妞在美国,Emanuelle in America ",(1977)
"安东尼·奎恩,豪尔赫·桑斯,Paloma Gómez,Saturno Cerra,Concha Leza",西班牙,Antonio José Betancor,"
                   剧情        ",6.6,"In 1939, in a French prison camp, José Garcés of the defeated Spanish Republican army raises the spirits of his fellow prisoners by telling the story of the year he was 8 years old, 1911, in a small town in northeastern Spain. He was a rascal, baffling his father, always in trouble, and in love with…","字符名称作为标题,一个字标题,西班牙,流氓,导师","
          西班牙语        ",85分钟,"
        瓦伦缇娜,Valentina ",(1982)
"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯,约翰·斯宾塞,大卫·摩斯",美国,迈克尔·贝,"
                   动作片        / 冒险        / 惊悚片        ",7.4,"A mild-mannered chemist and an ex-con must lead the counterstrike when a rogue group of military men, led by a renegade general, threaten a nerve gas attack from Alcatraz against San Francisco.","两个字标题,定时炸弹,彩色烟雾,飞机,军用飞机","
          英语        ",136分钟,"
        勇闯夺命岛,The Rock ",(1996)
"查理兹·塞隆,弗莱迪·海默,Ryan Stiles,尤金·列维,尼古拉斯·凯奇",日本,大卫·博维斯,"
                   动作片        / 动画        / 喜剧         / 家庭        / 科幻        ",6.3,"When an android replica of a boy is rejected by his aggrieved creator, he goes off to find his own identity in an adventure that would make him the greatest hero of his time.","字符名称作为标题,阿童木性格,生产问题,机器人,科学家","
          英语        ",94分钟,"
        Astro Boy ",(2009)
"黛伯拉·卡普瑞里奥,斯特凡纳·费拉拉,马汀娜·波萨,Stéphane Bonnet,Rossana Gavinel",意大利,丁度·巴拉斯,"
                   剧情        ",5.6,"A young country girl comes to town and works in a brothel in order to help her fiance get the money to start his own business. ""Paprika"" is the name given to her by the madam.","妓院,乳头","
          意大利语        ",116分钟,"
        Paprika ",(1991)
"伊万·麦克格雷格,娜塔莉·波特曼,海登·克里斯滕森,克里斯托弗·李,塞缪尔·杰克逊",美国,乔治·卢卡斯,"
                   动作片        / 冒险        / 奇幻片        / 科幻        ",6.5,"Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan Kenobi investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.","克隆战争,原力,裸腹,三部曲的一部分,开口爬行","
          英语        ",142分钟,"
        星球大战前传2：克隆人的进攻,Star Wars: Episode II - Attack of the Clones ",(2002)
"休·杰克曼,列维·施瑞博尔,丹尼·赫斯顿,威廉姆·亚当斯,琳恩·柯林斯",美国,加文·胡德,"
                   动作片        / 冒险        / 科幻        ",6.6,"The early years of James Logan, featuring his rivalry with his brother Victor Creed, his service in the special forces team Weapon X, and his experimentation into the metal-lined mutant Wolverine.","善与恶,自愈,突击队员,内战,爪击","
          英语        ",119分钟,"
        X-Men Origins: Wolverine ",(2009)
"罗比·本森,杰西·科尔蒂,雷克斯·埃弗哈特,Angela Lansbury,佩吉·奥哈拉",美国,加里·特洛斯达勒,"
                   动画        / 家庭        / 奇幻片        / 歌舞剧        / 爱情        ",8,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,"法国,玫瑰,城堡,沙文主义,改造","
          英语        ",91分钟,"
        美女与野兽,Beauty and the Beast ",(1991)
"Scott F. Anderson,Matt Baker,Eileen Seton,Laci Couts,卡丽科·库珀",美国,John Humber,"
                   剧情        / 爱情        ",6.6,"For as long as she could remember, Dakota Skye has been cursed with a super power. She has the ability to see the truth in any lie she hears. From small, harmless white lies, to the more devious kind, they have come from the people that she should trust the most; her family, friends and teachers. Th…","字符名称作为标题,两个字标题,谎言,摇滚乐队,青少年焦虑","
          英语        ",89分钟,"
        达科他女孩斯凯,Dakota Skye ",(2008)
"克劳斯·金斯基,Romina Power,玛丽亚·罗姆,萝丝玛丽·德克斯特,Carmen de Lirio",列支敦士登,Jesús Franco,"
                   剧情        / 恐怖        ",5.2,"Without a family, penniless and separated from her sister, a beautiful chaste woman will have to cope with an endless parade of villains, perverts and degenerates who will claim not only her treasured virtue but also her life.","对萨德侯爵的参考,绝望,马拉囚车,被锁在牢房里","
          意大利语        ",124分钟,"
        Marquis de Sade: Justine ",(1969)
"安德鲁·加菲尔德,艾玛·斯通,瑞斯·伊凡斯,丹尼斯·利瑞,马丁·辛",美国,马克·韦布,"
                   动作片        / 科幻        ",6.9,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to save the city from the machinations of a mysterious reptilian foe.","蜘蛛侠角色,蜘蛛,蜥蜴,纽约市,父母之死","
          英语        ",136分钟,"
        超凡蜘蛛侠,The Amazing Spider-Man ",(2012)
"石井辉男,Kôzô Uchida",日本,石井辉男,"
                   剧情        ",5.8,A tragic love story involving the 5th Shogun of the Tokugawa dynasty and a woman who became one of his concubines.,,"
          日语        ",90分钟,"
        德川女系图,Tokugawa onna keizu ",(1968)
"Imad Creidi,Antoinette Turk,Elias Gergi,Carmen Lebbos,Viktor Axelsson",瑞典,约瑟夫·法斯,"
                   剧情        / 家庭        / 战争        ",6.6,A Lebanese boy gets separated from his family during the civil war and ends up in Sweden.,"瑞典,战争受害者,足球,路障,叛逆的女儿","
          阿拉伯语        ",103分钟,"
        祖祖,Zozo ",(2005)
"Elizabeth Kaitan,Julia Parton,Jayne Hamil,杰·理查德森,Rebecca Rocheford Davies",美国,Rick Sloane,"
                   犯罪        / 喜剧         ",4.2,"""To Protect and Serve"" takes on a whole new meaning when the Vice Academy girls are on the case. Candy and her new partner Samantha are back in an all new wild adventure! The wicked nymphomaniac, Malathion, has broken out of prison again and is on the rampage. The vice girls must bust her before she…","横冲直撞,婚礼,第四部分,打破头瓶,女狱警","
          英语        ",89分钟,"
        金牌女警4,Vice Academy 4 ",(1995)
"鲍勃·克雷斯,Maria Lease,Kathy Williams,Bruce Kimball,John Alderman",美国,李·弗罗斯特,"
                   剧情        / 惊悚片        / 战争        ",3.8,Two female Army agents go undercover at a Nazi prison camp to get information from a scientist being held there.,"开发膜,研磨片,心理电影,纳粹主义,男子戴眼镜","
          英语        ",94分钟,"
        Love Camp 7 ",(1969)
"Ting Chan,李中宁,翁世杰,陈惠敏,Sai-Tang Chan",中国香港,Sek Lung Cheung,"
                  ",5.7,,,"
          粤语        ",89分钟,"
        San du tou qing ",(1993)
"托马斯·米切尔,芭芭拉·欧内尔,费雯·丽,伊夫林·凯耶斯,安·卢瑟福德",美国,维克多·弗莱明,"
                   剧情        / 历史        / 爱情        / 战争        ",8.1,A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,"美国内战,美国南部邦联,自恋型人格障碍,黑色刻板印象,妓院","
          英语        ",226分钟,"
        乱世佳人,Gone with the Wind ",(1939)
"杰瑞米·艾恩斯,梅兰尼·格里菲斯,弗兰克·兰格拉,多米尼克·斯万,苏珊妮·谢泼德",法国,阿德里安·莱恩,"
                   剧情        / 爱情        ",6.9,A man marries his landlady so he can take advantage of her daughter.,"14岁,洛丽塔,滥交的女儿,老人与少女的关系,禁忌之爱","
          英语        ",137分钟,"
        一树梨花压海棠,Lolita ",(1997)
"陈宝莲,福安城,植敬雯,大友梨奈,黄德斌",中国香港,黎继明,"
                   剧情        ",5.3,A man is drawn into the world of the afterlife where he falls for a powerful woman.,"女人在上面,楔形文字","
          粤语        ",94分钟,"
        Liao zhai san ji zhi deng cao he shang ",(1992)
"钟淑慧,吴岱融,黄秋生,何家驹,Daisy",中国香港,黎继明,"
                   喜剧         / 惊悚片        ",5.6,Police suspect a young teenager who was horrifically abused by her family and raped by her father of finally snapping and slaughtering them all.,"被父亲强奸,和女儿做爱","
          粤语        ",96分钟,"
        Mit moon cham on: Yit saat ",(1993)
"诗丽黛玮,萨佳·阿里,阿克夏耶·坎纳,阿德南·西德奎,纳瓦祖丁·席迪圭",印度,拉维·德耶瓦尔,"
                   犯罪        / 剧情        / 惊悚片        ",7.3,"After her daughter is sexually assaulted at a party, a furious mother sets out to destroy the lives of the four perpetrators who walked away free.","跳舞,手机,希杰拉,太监,义勇正义","
          北印度语        ",146分钟,"
        一个母亲的复仇,Mom ",(2017)
"Erin Cline,Joe Coffey,Dominiqua Alexis,Damon Buckley,Martha Cameron",美国,Curt Wiser,"
                   惊悚片        ",4.3,"A Thriller that revolves around Gessica, a 23-year-old web cam stripper who is pushed to the limit when held hostage by an unknown gunman.","汽提塔,复仇,剥离,单身母亲,人质情况","
          英语        ",89分钟,"
        Cam-Girl ",(2016)
"三船敏郎,志村乔,津岛惠子,岛崎雪子,藤原釜足",日本,黑泽明,"
                   动作片        / 冒险        / 剧情        ",8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,"武士,16世纪,战斗,日本,史诗","
          日语        ",202分钟,"
        七武士,Shichinin no samurai ",(1954)
"玛丽·阿斯特,Robert Ames,里卡多·柯兹,凯瑟琳·黛儿,姬蒂",美国,梅尔维尔,"
                   剧情        / 爱情        ",6.2,Mary Linden is the secretary who is the unheralded power behind successful executive James Duneen. He takes her for granted until rival Wales tries to take her away from him.,"秘书,单恋,男女关系,电话接线员,肥皂剧","
          英语        ",82分钟,"
        私人秘书,Behind Office Doors ",(1931)
"罗伯特·卡明斯,多罗茜·马龙,弗兰基·阿瓦隆,安妮特·弗奈斯洛,Morey Amsterdam",美国,威廉姆·阿舍,"
                   喜剧         / 歌舞剧        / 爱情        ",5.8,"The first of the five official American-International ""Beach Party"" movies. Anthropology Professor Robert Orwell Sutwell and his secretary Marianne are studying the sex habits of teenagers. The surfing teens led by Frankie and Dee Dee don't have much sex but they sing, battle the motorcycle rats and…","心理电影,冲浪,邪教电影","
          英语        ",94分钟,"
        青春之恋,Beach Party ",(1963)
"Edwige Fenech,维托里奥·卡布里奥利,阿尔弗雷多·拜尔亚,马里奥·卡卢特鲁托,卡罗·德力",意大利,南特·切西罗,"
                   喜剧         ",5.1,Edwige Fenech plays the sexy private teacher of Franco (Alfredo Pea) who immediately falls madly in love with her. Franco tries and tries to seduce her by faking his own suicide.,"女袜腿,黑色连裤袜,裤袜,裸胸","
          意大利语        ",89分钟,"
        青涩的体验,L'insegnante ",(1975)
"格列塔·斯卡奇,查尔斯·丹斯,乔斯·雅克兰德,莎拉·米尔斯,杰拉丁·卓别林",英国,迈克尔·莱德福,"
                   犯罪        / 剧情        / 悬疑        / 爱情        / 惊悚片        ",6.3,"In 1940s Kenya, a married couple join other affluent British expatriates in a lifestyle of recklessness and excess, but soon find themselves in a troubling situation.","颓废,诱惑,英国殖民主义,第二次世界大战,谋杀案审判","
          英语        ",107分钟,"
        欲望城,White Mischief ",(1987)
"安娜·加列娜,加布埃尔·加科,佛朗哥·班塞罗里,Antonio Salines,西蒙娜·博利沃尼",意大利,丁度·巴拉斯,"
                   剧情        / 爱情        / 惊悚片        ",5.1,"Trapped in an unhappy marriage, the wife of a high ranking Fascist official starts a dangerous, self-destructive relationship with a duplicitous S.S. Officer.","不幸的婚姻,带上迪尔多","
          意大利语        ",128分钟,"
        黑天使,Senso '45 ",(2002)
"马特·狄龙,戴安·琳恩,Tommy Lee Jones,布鲁斯·邓恩,李·格兰特",美国,本·博尔特,"
                   剧情        / 爱情        / 惊悚片        ",5.9,"J.C. Cullen arrives in Chicago and, with his cool hand, becomes a top dice roller. But when he meets a beautiful dancer, his luck may have finally run out - her husband is a ruthless killer.","汽提塔,偷窥狂,脱衣服,婚外情","
          英语        ",109分钟,"
        赌城浪子,The Big Town ",(1987)
"铃木砂羽,片冈礼子,杉本彩,中岛阳子,铃木弘满",日本,高桥伴明,"
                   剧情        / 爱情        ",6.2,"A look a the lives of two sex workers in Tokyo: Rei, who works as an S&M dominatrix, and Ayumi, in the more straightforward profession of call girl. In addition to their working life, the film also looks at their private lives. Rei is acting in an amateur theatre company (along with the receptio…","多米尼克,s&m,施虐受虐狂","
          日语        ",115分钟,"
        东京新爱人,Ai no shinsekai ",(1994)
"休·杰克曼,哈莉·贝瑞,伊恩·麦克莱恩,帕特里克·斯图尔特,法米克·詹森",加拿大,布莱特·拉特纳,"
                   动作片        / 科幻        ",6.7,"The human government develops a cure for mutations, and Jean Gray becomes a darker uncontrollable persona called the Phoenix who allies with Magneto, causing escalation into an all-out battle for the X-Men.","X人,穿过一堵墙,洛根字符,埃里克·莱恩谢尔性格,查尔斯泽维尔教授","
          英语        ",104分钟,"
        X-Men: The Last Stand ",(2006)
"伊娃·奥琳,夏尔·阿兹纳夫,马龙·白兰度,理查德·伯顿,詹姆斯·柯本",意大利,克里斯蒂安·马康,"
                   冒险        / 喜剧         / 奇幻片        ",5.4,"Candy Christian, an innocent high-schooler, encounters numerous colorful characters and humorous sexual situations while attempting to find meaning in life.","迷你裙,色情文学,天真的女孩","
          英语        ",115分钟,"
        玉女七试云雨情,Candy ",(1968)
"托宾·贝尔,肖妮·史密斯,安古斯·麦克菲登,巴哈·索莫克,唐尼·沃尔伯格",美国,Darren Lynn Bousman,"
                   恐怖        / 悬疑        / 惊悚片        ",6.2,Jigsaw abducts a doctor in order to keep himself alive while he watches his new apprentice put an unlucky citizen named Jeff through a brutal test.,"折磨,残忍","
          英语        ",121分钟,"
        Saw III ",(2006)
"Sarah Hunter,Pristine Edge,Andrew Espinoza Long,William F. Bryant,Aria Alexander",美国,迪恩·麦肯德里克,"
                   喜剧         ",3.1,"Awakened from a curse, Sleeping Beauty marvels at the wonders of the new century. She falls in love with a famous architect who is working to restore the castle she once lived in, but finds there are enemies plotting against her. Giving in to her long pent-up sexual desires, Beauty cannot resist the…","色情的,浴缸里的两个女人","
          英语        ",81分钟,"
        睡美人,Sleeping Beauties ",(2017)
"林青霞,梁朝伟,王菲,金城武,周嘉玲",中国香港,王家卫,"
                   犯罪        / 喜剧         / 剧情        / 悬疑        / 爱情        ",8.1,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal server at a late-night restaurant he frequents.","香港,内心的思想,毒品走私,到期日,罐头食品","
          粤语        ",102分钟,"
        重庆森林,Chung Hing sam lam ",(1994)
"詹姆斯·斯图尔特,唐娜·里德,莱昂纳尔·巴里摩尔,托马斯·米切尔,亨利·崔佛斯",美国,弗兰克·卡普拉,"
                   剧情        / 家庭        / 奇幻片        ",8.6,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,"守护天使,圣诞节,小镇生活,交替历史,第二次机会","
          英语        ",118分钟,"
        生活多美好,It's a Wonderful Life ",(1946)
"基努·里维斯,桑德拉·布洛克,克里斯托弗·普卢默,Ebon Moss-Bachrach,维勒克·范阿梅尔罗伊",美国,亚历杭德罗·阿格雷斯蒂,"
                   剧情        / 奇幻片        / 爱情        ",6.8,"A lonely doctor, who once occupied an unusual lakeside house, begins exchanging love letters with its former resident, a frustrated architect. They must try to unravel the mystery behind their extraordinary romance before it's too late.","平行时间,跨越时间的爱,信,写信,建筑","
          英语        ",99分钟,"
        触不到的恋人,The Lake House ",(2006)
"安东尼·霍普金斯,妮可·基德曼,艾德·哈里斯,加里·西尼斯,温特沃斯·米勒",德国,Robert Benton,"
                   剧情        / 爱情        / 惊悚片        ",6.2,"When a disgraced former college dean has a romance with a mysterious younger woman haunted by her dark, twisted past, he is forced to confront a shocking fact about his own life that he has kept secret for fifty years.","金发的,偷窥狂,女的脱衣服,黑色内裤,欲望","
          英语        ",106分钟,"
        人性污点,The Human Stain ",(2003)
Katrin Ottarsdóttir,丹麦,Katrin Ottarsdóttir,"
                   喜剧         / 剧情        ",6.1,Presents a day in the life of a few inhabitants of Tórshavn in the Faroe Islands: A father and his daughter are having breakfast when the fire-brigade drive by. A woman and her child are looking at the fire and meet a married couple. The couple say hello to a man who is going out with his boat... an…,"法罗群岛,半纪录片,小城镇","
          法罗语        ",80分钟,"
        Atlantic Rhapsody - 52 myndir úr Tórshavn ",(1990)
"艾伦·拉德,Loretta Young,苏珊·海沃德,巴瑞·萨里万,比尤拉·邦蒂",美国,欧文·皮切尔,"
                   剧情        ",6.9,A wealthy woman who lost her hearing to meningitis meets a doctor who is concocting a serum that will cure deafness.,基于小说,"
          英语        ",86分钟,"
        姊妹争夫,And Now Tomorrow ",(1944)
"吉田辉雄,Masumi Tachibana,小池朝雄,片山由美子,Mieko Fujimoto",日本,石井辉男,"
                   犯罪        / 剧情        / 恐怖        / 惊悚片        ",5.8,"High demand for tattooed geisha generates an entire industry for their ""production"". Europeans pay more for tattooed beauties. Against this background, and considering the gorgeous tattooed women develop the history of confrontation between two highly skilled masters of tattoo.","纹身,注射,被俘妇女,链,笼子","
          日语        ",90分钟,"
        德川责罚地狱,Tokugawa irezumi-shi: Seme jigoku ",(1969)
"Elisabeth Margoni,亚历克斯·安克吕罗,碧拉尔·巴登,胡安·卡洛斯,卡门·萨丽娜斯",西班牙,Laura Mañá,"
                   喜剧         ",7.1,"Dolores is a mature and kind woman whose husband abandons her because he can't stand her uncanny generosity. Desperate to get her husband back, she devotes her life to works of charity, which is to go to bed with the other men of the town. Dolores, now ""Lolita"", becomes so famous that all men seek o…","F级,寓言,村庄,农村环境","
          西班牙语        ",109分钟,"
        强迫出轨,Sexo por compasión ",(2000)
"亨弗莱·鲍嘉,埃琳诺·帕克,雷蒙德·马西,理查德·沃尔夫,詹姆斯·布朗",美国,史都华·海斯勒,"
                   动作片        / 冒险        / 剧情        ",6.1,"Matt Brennan runs into Jo Holloway, the Red Cross girl he romanced in Europe when he was a flyer in World War II, when he is offered a job by jet manufacturer Leland Willis as a test pilot. Carl Troxell, wants to sell an escape cockpit to the Air Force. He wants Matt to stall the presentation of JA-…","华盛顿华盛顿纪念碑,喷气机,试飞员,航空航天胶片,华盛顿特区","
          英语        ",79分钟,"
        喷射的爱情,Chain Lightning ",(1950)
"凯特琳·卡特利吉,文森特·多诺费奥,科尔姆·米尼,Patrick Husted,Muriel Maida",美国,洛奇·科里根,"
                   剧情        ",6.8,"A high-priced call girl, shocked by her mother's death, decides to get out of the business and have a baby. The steps that she takes to free herself from her pimp and find a father for the baby are the central story of this movie.","字符名称作为标题,两个字标题,宝贝,皮条客,女孩","
          法语        ",95分钟,"
        克雷尔多兰,Claire Dolan ",(1998)
"基兰·奥布莱恩,玛戈·斯蒂雷,Black Rebel Motorcycle Club,Don Blum,Marcie Bolen",英国,迈克尔·温特伯顿,"
                   剧情        / 音乐剧        / 爱情        ",4.8,"In London, intense sexual encounters take place between an American college student, named Lisa, and an English scientist, named Matt, between attending rock concerts.",欲望,"
          英语        ",67分钟,"
        9 Songs ",(2004)
"琳达·布莱尔,约翰·沃侬,西碧尔·丹宁,塔玛拉·多布森,Stella Stevens",美国,Paul Nicholas,"
                   动作片        / 犯罪        / 剧情        / 惊悚片        ",4.9,"Young Carol Henderson ends up in prison where she must learn how to survive in an environment plagued by violence, murder, rape, racism, drugs and staff corruption and brutality.","浴缸里的女人,监狱,强奸犯","
          英语        ",98分钟,"
        黑狱飞凤,Chained Heat ",(1983)
"单立文,黄美贞,Yan Suk Gam,Hai Gan,田隽",中国香港,李翰祥,"
                   剧情        ",6,"Pan Jinlian is told by the wine-stall owner, Madam Wang, that her brother-in-law, Wu Song, has been released from prison, and advises him to leave town.",,"
          粤语        ",89分钟,"
        Shao nu Pan Jin Lian ",(1994)
"林哥·斯塔尔,丹尼斯·奎德,谢莉·朗,杰克·吉尔福德,Cork Hubbert",美国,卡尔·哥特列布,"
                   喜剧         / 爱情        ",5.8,A caveman seeks revenge on a much larger competitor for the hand of a beautiful cavewoman.,"穴居人,哄骗,史前时代,闹剧喜剧,洞穴女人","
          英语        ",91分钟,"
        山洞人,Caveman ",(1981)
"杰森·弗莱明,德克斯特·弗莱彻,凯莉·麦克唐纳,丹妮丝·凡,丽兹·史密斯",英国,加比·德拉尔,"
                   剧情        ",6.3,Nine stories based on the true-life experiences of London Underground passengers.,"火车,地铁,F级,英国伦敦","
          英语        ",89分钟,"
        地铁故事,Tube Tales ",(1999)
"Mark Rylance,凯瑞·福克斯,Susannah Harker,阿拉斯泰尔·加尔布赖斯,Philippe Calvario",法国,帕特里斯·夏侯,"
                   剧情        / 爱情        ",6.1,"A failed London musician meets once a week with a woman for a series of intense sexual encounters to get away from the realities of life. But when he begins inquiring about her, it puts their relationship at risk.",通奸的妻子,"
          英语        ",107分钟,"
        Intimacy ",(2001)
"马腾·斯密特,杰罗恩·克拉比,安德鲁·凯利,Freark Smink,Elsje de Wijn",荷兰,罗兰·克博施,"
                   剧情        / 爱情        / 战争        ",7.6,"Set in The Netherlands at the end of WW II, this touching story, told in flashbacks, explores the complex and romantic relationship between an adult soldier and a displaced, lonely adolescent boy.","荷兰,加拿大,1945,恋童癖","
          荷兰语        ",92分钟,"
        Voor een verloren soldaat ",(1992)
"克里斯·帕拉特,布莱丝·达拉斯,伊尔凡·可汗,文森特·多诺费奥,泰·辛普金斯",美国,科林·特雷沃罗,"
                   动作片        / 冒险        / 科幻        ",7,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree.","恐龙,实验出错,灾难片,迅猛龙,主题公园","
          英语        ",124分钟,"
        侏罗纪世界,Jurassic World ",(2015)
"希亚·拉博夫,梅根·福克斯,乔什·杜哈明,泰瑞斯·吉布森,瑞切尔·泰勒",美国,迈克尔·贝,"
                   动作片        / 冒险        / 科幻        ",7,"An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.","超级恶棍,邪恶外星机器人,60黑鹰直升机,第一部分,高清晰度电视","
          英语        ",144分钟,"
        变形金刚,Transformers ",(2007)
"詹姆斯·梅森,苏珊·乔治,佩里·金,Richard Ward,布兰达·塞克斯",美国,理查德·弗莱彻,"
                   剧情        / 历史        / 爱情        ",6.3,An 1840s slaveowner trains one of his slaves to be a bare-knuckle fighter.,"奴隶,奴隶主,裸拳格斗,1840s,奴隶贸易","
          英语        ",127分钟,"
        Mandingo ",(1975)
"Lucia Prato,卡门·迪,Gala Orlova,Gianluca Magni,Fabio Saccani",意大利,洛伦佐·奥诺拉迪,"
                  ",4.5,"After the death of her husband, Countess Lucrezia Borgia seeks to become the first lady of the Kingdom. To do so, she seduces any influential man with the help of her perverse circle and lead them in a spiral of lust and scheme.",,"
          意大利语        ",82分钟,"
        卡斯提尔,Lucrezia Borgia ",(1990)
"劳拉·贾姆瑟,加布里埃莱·丁蒂,Nieves Navarro,Donald O'Brien,Percy Hogan",意大利,乔·达马托,"
                   冒险        / 恐怖        ",5.1,"A female journalist decides to traverse the Amazon Jungle after going undercover in a mental asylum and witnessing a disturbing behavior from a rescued white woman, who she believes was raised by a cannibalistic tribe long thought extinct.","图形暴力,图形裸露,性高潮,角质女人","
          意大利语        ",92分钟,"
        Emanuelle e gli ultimi cannibali ",(1977)
"王祖贤,单立文,黄耀明,陈颖芝,陈慧楼",中国台湾,邱刚健,"
                   剧情        ",6.3,"Yuan, Chonglu door magistrate's wife to the husband, because of sexual desire and dissatisfaction with the people of adultery, after being found was ""riding wooden donkey"" lethal torture. The magistrate's infant daughter Ah Ying (Joey Wang) is betrothed to the Wu Feng Yun. A newlywed husband Martial…",,"
          普通话        ",118分钟,"
        阿婴,Sheng nu de yu wang ",(1993)
"舒淇,楼学贤,Allen Hai-Han Lan,洪建荣,狄威",中国台湾,叶鸿伟,"
                   动作片        / 剧情        ",5.6,Suen Tie-Mei has grown up in the mountains and been engaged to Wong Hui when she gets pregnant. In an action against the Japanese occupation forces Wong gets killed.,"乳头,裸胸","
          普通话        ",94分钟,"
        欲女,Han fu gang ",(1999)
